average,date,highest,lowest,order_count,volume
394200,2022-11-10,396900,300000,153,270
395000,2022-11-11,396900,241700,146,205
396700,2022-11-12,396800,310000,191,315
396900,2022-11-13,400000,396900,217,404
515200,2022-11-14,749900,225500,134,143
480000,2022-11-15,499900,400000,136,224
430000,2022-11-16,499900,300000,128,165
450000,2022-11-17,500000,225400,102,136
480000,2022-11-18,799800,225400,125,141
300000,2022-11-19,500000,226900,164,222
558800,2022-11-20,689800,230200,140,174
395900,2022-11-21,395900,395900,119,227
491900,2022-11-22,495000,250500,119,125
500000,2022-11-23,550000,300000,107,178
300000,2022-11-24,559200,252500,101,163
620200,2022-11-25,620200,620100,117,308
640000,2022-11-26,680000,300000,129,178
478900,2022-11-27,499800,276800,136,174
478000,2022-11-28,479000,398900,88,117
470000,2022-11-29,478700,280200,94,128
499400,2022-11-30,499900,460000,89,143
499900,2022-12-01,601300,281500,93,117
397500,2022-12-02,498900,300000,95,102
496900,2022-12-03,497000,386000,121,189
500000,2022-12-04,601100,386000,156,200
434000,2022-12-05,539800,340100,116,177
441346.32,2022-12-06,529900,342100,83,95
500000,2022-12-07,500000,499900,96,180
498900,2022-12-08,530000,347700,89,113
10030,2022-12-09,10030,10030,94,279
490000,2022-12-10,519900,350700,110,169
574500,2022-12-11,574700,351000,107,152
598000,2022-12-12,601600,351500,102,146
351500,2022-12-13,498000,351400,99,167
351000,2022-12-14,598000,300000,98,141
584800,2022-12-15,595900,351100,97,111
510000,2022-12-16,588650,489000,89,150
449486.8,2022-12-17,577000,351800,90,97
450000,2022-12-18,520000,226500,112,126
420000,2022-12-19,575950,353000,85,131
354450,2022-12-20,567500,354300,92,132
535000,2022-12-21,562700,499900,105,179
562400,2022-12-22,562700,356600,100,132
545000,2022-12-23,548000,360200,98,145
546050,2022-12-24,546700,360400,122,148
360500,2022-12-25,360750,360500,101,154
465800,2022-12-26,497500,361000,101,118
800000,2022-12-27,800000,800000,151,1875
979700,2022-12-28,999900,563450,105,234
595112.64,2022-12-29,849800,382600,75,87
500000,2022-12-30,500000,500000,101,206
445200,2022-12-31,674900,215250,86,108
536676.63,2023-01-01,672800,215300,89,95
615000,2023-01-02,649700,391200,98,123
600150,2023-01-03,644600,391300,82,102
500000,2023-01-04,640000,391800,85,103
633100,2023-01-05,637700,500000,98,128
523990.84,2023-01-06,628600,393200,78,95
598700,2023-01-07,604500,394400,80,115
579400,2023-01-08,579900,495500,118,157
