average,date,highest,lowest,order_count,volume
907550000,2022-11-14,919900000,895000000,136,170
884500000,2022-11-15,898800000,835050000,114,126
880000000,2022-11-16,887600000,852550000,112,137
888000000,2022-11-17,920000000,880000000,186,231
915000000,2022-11-18,923300000,912300000,109,133
914050000,2022-11-19,917700000,913000000,140,178
904800000,2022-11-20,916200000,855000000,125,194
913200000,2022-11-21,917000000,845000000,97,188
908800000,2022-11-22,912250000,903800000,132,177
902250000,2022-11-23,907900000,880000000,97,104
900800000,2022-11-24,901400000,837100000,80,133
902950000,2022-11-25,907000000,900700000,104,122
904950000,2022-11-26,920000000,840000000,157,184
903500000,2022-11-27,938000000,900000000,102,134
904200000,2022-11-28,938800000,900000000,105,131
913000000,2022-11-29,930000000,904700000,102,152
929000000,2022-11-30,942700000,927500000,97,124
920965789.47,2022-12-01,937450000,855100000,65,76
929000000,2022-12-02,940900000,910000000,105,152
938500000,2022-12-03,942000000,930000000,143,177
942900000,2022-12-04,945600000,939300000,97,148
974500000,2022-12-05,977900000,939700000,72,113
927591764.71,2022-12-06,938900000,866600000,70,85
936000000,2022-12-07,949850000,866700000,98,139
932217977.53,2022-12-08,935100000,920000000,62,89
936000000,2022-12-09,938000000,934750000,103,115
934000000,2022-12-10,937500000,933700000,92,113
933900000,2022-12-11,934200000,932900000,126,155
938200000,2022-12-12,940000000,935000000,105,182
934200000,2022-12-13,935100000,932900000,74,130
930000000,2022-12-14,940000000,869100000,95,131
940100000,2022-12-15,945000000,864400000,103,140
944900000,2022-12-16,970000000,939600000,87,104
942900000,2022-12-17,969400000,863700000,151,196
930000000,2022-12-18,942000000,900000000,140,167
954850000,2022-12-19,974200000,941100000,104,136
942100000,2022-12-20,973100000,925000000,134,169
939300000,2022-12-21,955850000,934900000,111,125
934900000,2022-12-22,939300000,934800000,131,166
934500000,2022-12-23,949000000,900000000,115,176
934800000,2022-12-24,954700000,929000000,96,115
935000000,2022-12-25,960000000,928000000,118,180
936300000,2022-12-26,950100000,930000000,120,141
941900000,2022-12-27,949900000,936300000,121,189
